command,repos
.vglrun.vars64,extra
0ad,extra
1password2john,extra
3BandEQ,extra
3BandSplitter,extra
3cpio,extra
411toppm,extra
4channels,extra
4ti2gmp,extra
4ti2int32,extra
4ti2int64,extra
6to4test.sh,extra
6tunnel,extra
7z,extra
7z2john,extra
7za,extra
7zr,extra
ADLplug,extra
AIDA-X,extra
ATR_analysis,extra
Adie.stx,extra
AllRADecoder,extra
Allure,extra
AmplitudeImposer,extra
AusweisApp,extra
B_A,extra
B_A_center,extra
B_D,extra
B_D_center,extra
B_S,extra
B_S_center,extra
BespokeSynth,extra
BinauralDecoder,extra
Cardinal,extra
CardinalMini,extra
CardinalNative,extra
CheckLDAPStatus.py,extra
ChiPass,extra
ChiPass-cli,extra
ChiPass-proxy,extra
ControlPanel,extra
ConvertCDDextToLatte,extra
ConvertCDDineToLatte,extra
CoordinateConverter,extra
CreateDOMDocument,extra
CsoundQt-d-cs6,extra
CycleShifter,extra
DHT_bootstrap,extra
DOMCount,extra
DOMPrint,extra
DPAPImk2john,extra
DRAWEXE,extra
DRAWEXE-7.9.3,extra
Dexed,extra
DirectionalCompressor,extra
DirectivityShaper,extra
DistanceCompensator,extra
DllPlugInTester,extra
Dnxk,extra
DragonflyEarlyReflections,extra
DragonflyHallReverb,extra
DragonflyPlateReverb,extra
DragonflyRoomReverb,extra
DroidSans.ttf,extra
DualDelay,extra
DumpNTLMInfo.py,extra
ESingular,extra
ETL-config,extra
EmptyEpsilon,extra
EnergyVisualizer,extra
EnumVal,extra
ExpToCasExe,extra
ExpToCasExe-7.9.3,extra
FBReader,extra
FdnReverb,extra
FileCheck,extra
FileCheck-18,extra
FileCheck-19,extra
FileCheck-20,extra
FileCheck-21,extra
FontEditor,extra
Forcevideo-drbl-live,extra
FreeCAD,extra
FreeCADCmd,extra
FvwmCommand,extra
FvwmPrompt,extra
Get-GPPPassword.py,extra
GetADComputers.py,extra
GetADUsers.py,extra
GetLAPSPassword.py,extra
GetNPUsers.py,extra
GetUserSPNs.py,extra
GranularEncoder,extra
GraphicsMagick++-config,extra
GraphicsMagick-config,extra
GraphicsMagickWand-config,extra
HPXcvt,extra
HTMLLinker,extra
HandBrakeCLI,extra
HsColour,extra
Hyprland,extra
ImageEditor,extra
JKQTPCSSParser_test,extra
JKQTPDataCache_benchmark,extra
JKQTPDataCache_test,extra
JKQTPStringTools_test,extra
JxrDecApp,extra
JxrEncApp,extra
Kars,extra
KateDJ,extra
LCDd,extra
LambdaHack,extra
LayoutEditor,extra
LimeQuickTest,extra
LimeSuiteGUI,extra
LimeUtil,extra
MCTSExtractorHighBitDepthStatic,extra
MCTSExtractorStatic,extra
MP4Box,extra
MPEG2TransportStreamIndexer,extra
MVerb,extra
MaBitcrush,extra
MaFreeverb,extra
MaGigaverb,extra
MaPitchshift,extra
Magick++-config,extra
MagickCore-config,extra
MagickWand-config,extra
MaterialXGraphEditor,extra
MaterialXView,extra
MatrixMultiplier,extra
MauiManServer4,extra
MediaElch,extra
MemParse,extra
ModemManager,extra
MultiBandCompressor,extra
MultiEQ,extra
MultiEncoder,extra
NRswitchg,extra
Nekobi,extra
NetworkManager,extra
OB-Xf,extra
OPNplug,extra
OgreCmgenToCubemap,extra
OgreMeshTool,extra
OgreMeshUpgrader,extra
OgreXMLConverter,extra
OmniCompressor,extra
OneTrick B-BOI,extra
OneTrick CHONK,extra
OneTrick CRYPTID,extra
OneTrick KEYS,extra
OneTrick SIMIAN2,extra
OneTrick URCHIN,extra
OpenToonz,extra
PPSSPPHeadless,extra
PPSSPPSDL,extra
PParse,extra
PSVIWriter,extra
PTBatcherGUI,extra
PTblender,extra
PTcrop,extra
PTinfo,extra
PTmasker,extra
PTmender,extra
PToptimizer,extra
PTroller,extra
PTtiff2psd,extra
PTtiffdump,extra
PTuncrop,extra
Packer,extra
PathFinder,extra
PingPongPan,extra
ProbeDecoder,extra
Projucer,extra
QtWebEngineProcess6,extra
R,extra
RHVoice-test,extra
ROPgadget,extra
RecastDemo,extra
Redirect,extra
RockboxUtility,extra
RoomEncoder,extra
Rscript,extra
SAX2Count,extra
SAX2Print,extra
SAXCount,extra
SAXPrint,extra
SCMPrint,extra
SEIFilmGrainAppHighBitDepthStatic,extra
SEIFilmGrainAppStatic,extra
SEIRemovalAppHighBitDepthStatic,extra
SEIRemovalAppStatic,extra
SEnumVal,extra
SIPdump,extra
SceneRotator,extra
SciTE,extra
Shape_PointInPoly,extra
SigDigger,extra
SimpleDecoder,extra
SimpleITKTclsh,extra
Singular,extra
SkinEditor,extra
SnapPy,extra
SoapySDRServer,extra
SoapySDRUtil,extra
SoulForce,extra
StdInParse,extra
StellarSolverTester,extra
StereoEncoder,extra
Stochas,extra
Surge XT,extra
Surge XT Effects,extra
SvtAv1EncApp,extra
SvtHevcEncApp,extra
SvtVp9EncApp,extra
SysTray-X,extra
TAppDecoderAnalyserHighBitDepthStatic,extra
TAppDecoderAnalyserStatic,extra
TAppDecoderHighBitDepthStatic,extra
TAppDecoderStatic,extra
TAppEncoderHighBitDepthStatic,extra
TAppEncoderStatic,extra
TSingular,extra
Telegram,extra
Tensile,extra
TensileBenchmarkCluster,extra
TensileCreateLibrary,extra
TensileGetPath,extra
TensileRetuneLibrary,extra
Thunar,extra
ToolBox,extra
UTkamene,extra
UnicodeNameMappingGenerator,extra
UnicodeNameMappingGenerator-18,extra
UnicodeNameMappingGenerator-19,extra
UnicodeNameMappingGenerator-20,extra
UnicodeNameMappingGenerator-21,extra
VASTvaporizer2,extra
VBox,extra
VBoxAudioTest,extra
VBoxAutostart,extra
VBoxBalloonCtrl,extra
VBoxBugReport,extra
VBoxClient,extra
VBoxClient-all,extra
VBoxControl,extra
VBoxDRMClient,extra
VBoxHeadless,extra
VBoxManage,extra
VBoxSDL,extra
VBoxService,extra
VGAuthService,extra
VRMLConverter,extra
VirtualBox,extra
VirtualBoxVM,extra
WPEWebDriver,extra
WPrefs,extra
WebKitWebDriver,extra
X,extra
XInclude,extra
Xalan,extra
Xdummy,extra
Xephyr,extra
Xnest,extra
Xorg,extra
Xspice,extra
Xvfb,extra
Xvnc,extra
Xwayland,extra
ZXingQtCamReader,extra
ZXingReader,extra
ZXingWriter,extra
ZaMaximX2,extra
ZaMultiComp,extra
ZaMultiCompX2,extra
ZamAutoSat,extra
ZamComp,extra
ZamCompX2,extra
ZamDelay,extra
ZamDynamicEQ,extra
ZamEQ2,extra
ZamEcho,extra
ZamGEQ31,extra
ZamGate,extra
ZamGateX2,extra
ZamGrains,extra
ZamHeadX2,extra
ZamNoise,extra
ZamPhono,extra
ZamTube,extra
ZamVerb,extra
ZydisDisasm,extra
ZydisInfo,extra
[,core
_cvpcb.kiface,extra
_eeschema.kiface,extra
_gerbview.kiface,extra
_kipython.kiface,extra
_pcb_calculator.kiface,extra
_pcbnew.kiface,extra
_pl_editor.kiface,extra
a2j,extra
a2j_control,extra
a2jmidi_bridge,extra
a2jmidid,extra
a2ping,extra
a2ps,extra
a2ps-lpr-wrapper,extra
a2x,extra
a52dec,extra
a5toa4,extra
a68g,extra
aa-audit,extra
aa-autodep,extra
aa-cleanprof,extra
aa-complain,extra
aa-decode,extra
aa-disable,extra
aa-easyprof,extra
aa-enabled,extra
aa-enforce,extra
aa-exec,extra
aa-features-abi,extra
aa-genprof,extra
aa-load,extra
aa-logprof,extra
aa-mergeprof,extra
aa-notify,extra
aa-remove-unknown,extra
aa-status,extra
aa-teardown,extra
aa-unconfined,extra
aacs_info,extra
aafigure,extra
aafire,extra
aainfo,extra
aalib-config,extra
aarch64-linux-gnu-addr2line,extra
aarch64-linux-gnu-ar,extra
aarch64-linux-gnu-as,extra
aarch64-linux-gnu-c++,extra
aarch64-linux-gnu-c++filt,extra
aarch64-linux-gnu-cpp,extra
aarch64-linux-gnu-elfedit,extra
aarch64-linux-gnu-g++,extra
aarch64-linux-gnu-gcc,extra
