desktop_id,repos
0ad,extra
ADLplug,extra
Alacritty,extra
BespokeSynth,extra
Cinny,extra
ControlPanel,extra
FBReader,extra
FeelUOwn,extra
GameConqueror,extra
GammaRay,extra
Helix,extra
MediaElch,extra
OPNplug,extra
PPSSPPSDL,extra
PTBatcherGUI,extra
PathFinder,extra
PrusaGcodeviewer,extra
PrusaSlicer,extra
RMSViewer,extra
RockboxUtility,extra
SciTE,extra
SigDigger,extra
Singular,extra
Singular-manual,extra
SuperColliderIDE,extra
Surge-XT,extra
Surge-XT-FX,extra
WPrefs,extra
Waydroid,extra
WebHTTrack,extra
WebHTTrack-Websites,extra
Xmaxima,extra
abiword,extra
accerciser,extra
acme,extra
activity-log-manager,extra
adie,extra
adljack,extra
adlrt,extra
aerc,extra
alacarte,extra
alc,extra
algernon,extra
algernon_md,extra
aliki,extra
alot,extra
alot-mailto,extra
ambdec,extra
amdgpu_top,extra
amfora,extra
ams,extra
amsynth,extra
android-file-transfer,extra
angband,extra
anki,extra
app.drey.Biblioteca,extra
app.drey.Blurble,extra
app.drey.Dialect,extra
app.drey.EarTag,extra
app.drey.Elastic,extra
app.drey.KeyRack,extra
app.drey.Planner,extra
app.drey.Warp,extra
app.liten.Gram,extra
app.yaak.Yaak,extra
arandr,extra
ardour9,extra
ares,extra
ario,extra
assistant,extra
astroid,extra
astromenace,extra
at.iem.plugins.AllRADecoder,extra
at.iem.plugins.BinauralDecoder,extra
at.iem.plugins.CoordinateConverter,extra
at.iem.plugins.DirectionalCompressor,extra
at.iem.plugins.DirectivityShaper,extra
at.iem.plugins.DistanceCompensator,extra
at.iem.plugins.DualDelay,extra
at.iem.plugins.EnergyVisualizer,extra
at.iem.plugins.FdnReverb,extra
at.iem.plugins.GranularEncoder,extra
at.iem.plugins.MatrixMultiplier,extra
at.iem.plugins.MultiBandCompressor,extra
at.iem.plugins.MultiEQ,extra
at.iem.plugins.MultiEncoder,extra
at.iem.plugins.OmniCompressor,extra
at.iem.plugins.ProbeDecoder,extra
at.iem.plugins.RoomEncoder,extra
at.iem.plugins.SceneRotator,extra
at.iem.plugins.SimpleDecoder,extra
at.iem.plugins.StereoEncoder,extra
at.iem.plugins.ToolBox,extra
atomix,extra
atril,extra
audacious,extra
audacity,extra
avahi-discover,extra
azote,extra
baka-mplayer,extra
balsa-mailto-handler,extra
barrage,extra
bass,extra
be.alexandervanhee.gradia,extra
birdfont,extra
bitwarden,extra
blender,extra
blobby,extra
blobwars,extra
bluefish,extra
blueman-adapters,extra
blueman-manager,extra
bluetooth-sendto,extra
boinc,extra
bonzomatic,extra
bookmarks,extra
brasero,extra
breezestyleconfig,extra
bssh,extra
bt747,extra
btop,extra
btrfs-assistant,extra
budgie-applications-panel,extra
budgie-background-panel,extra
budgie-camera-panel,extra
budgie-color-panel,extra
budgie-datetime-panel,extra
budgie-default-apps-panel,extra
budgie-diagnostics-panel,extra
budgie-info-overview-panel,extra
budgie-introduction-panel,extra
budgie-keyboard-panel,extra
budgie-location-panel,extra
budgie-lock-panel,extra
budgie-microphone-panel,extra
budgie-mouse-panel,extra
budgie-multitasking-panel,extra
budgie-network-panel,extra
budgie-night-light-panel,extra
budgie-notifications-panel,extra
budgie-power-panel,extra
budgie-printers-panel,extra
budgie-region-panel,extra
budgie-removable-media-panel,extra
budgie-sharing-panel,extra
budgie-sound-panel,extra
budgie-thunderbolt-panel,extra
budgie-universal-access-panel,extra
budgie-usage-panel,extra
budgie-user-accounts-panel,extra
budgie-wacom-panel,extra
budgie-wifi-panel,extra
budgie-wwan-panel,extra
bulky,extra
bvnc,extra
ca.desrt.dconf-editor,extra
cact,extra
cafe.avery.Delfin,extra
cairo-dock,extra
cairo-dock-cairo,extra
caja,extra
caja-autorun-software,extra
caja-browser,extra
caja-computer,extra
caja-file-management-properties,extra
caja-folder-handler,extra
caja-home,extra
calculator,extra
calibrate_lens_gui,extra
calibre-ebook-edit,extra
calibre-ebook-viewer,extra
calibre-gui,extra
calibre-lrfviewer,extra
calligra,extra
caph,extra
carla,extra
carla-control,extra
carla-jack-multi,extra
carla-jack-single,extra
carla-patchbay,extra
carla-rack,extra
cartes-geo-handler,extra
cdemu-client,extra
ch.openboard.OpenBoard,extra
cherrytree,extra
chewing-editor,extra
chinese-calendar,extra
chromium,extra
chromium-bsu,extra
cinnamon,extra
cinnamon-color-panel,extra
cinnamon-display-panel,extra
cinnamon-killer-daemon,extra
cinnamon-menu-editor,extra
cinnamon-network-panel,extra
cinnamon-onscreen-keyboard,extra
cinnamon-settings,extra
cinnamon-settings-actions,extra
cinnamon-settings-applets,extra
cinnamon-settings-backgrounds,extra
cinnamon-settings-calendar,extra
cinnamon-settings-default,extra
cinnamon-settings-desklets,extra
cinnamon-settings-desktop,extra
cinnamon-settings-effects,extra
cinnamon-settings-extensions,extra
cinnamon-settings-fonts,extra
cinnamon-settings-general,extra
cinnamon-settings-gestures,extra
cinnamon-settings-hotcorner,extra
cinnamon-settings-info,extra
cinnamon-settings-keyboard,extra
cinnamon-settings-mouse,extra
cinnamon-settings-nightlight,extra
cinnamon-settings-notifications,extra
cinnamon-settings-panel,extra
cinnamon-settings-power,extra
cinnamon-settings-privacy,extra
cinnamon-settings-screensaver,extra
cinnamon-settings-sound,extra
cinnamon-settings-startup,extra
cinnamon-settings-themes,extra
cinnamon-settings-thunderbolt,extra
cinnamon-settings-universal-access,extra
cinnamon-settings-user,extra
cinnamon-settings-users,extra
cinnamon-settings-windows,extra
cinnamon-settings-workspaces,extra
cinnamon-wacom-panel,extra
cinnamon-wayland,extra
cinnamon2d,extra
ckb-next,extra
clamtk,extra
claws-mail,extra
cmake-gui,extra
co.honnef.Gotraceui,extra
cockatrice,extra
cockos-reaper,extra
code-oss,extra
code-oss-url-handler,extra
code-url-handler,extra
codeblocks,extra
colordkdeiccimporter,extra
com.adrienplazas.Metronome,extra
com.belmoussaoui.Authenticator,extra
com.belmoussaoui.Decoder,extra
com.belmoussaoui.Obfuscate,extra
com.belmoussaoui.ReadItLater,extra
com.bilingify.readest,extra
com.borgbase.Vorta,extra
com.cassidyjames.clairvoyant,extra
com.danklinux.dms,extra
