context,name
Actions,address-book-new
Actions,application-exit
Actions,appointment-new
Actions,call-start
Actions,call-stop
Actions,contact-new
Actions,document-new
Actions,document-open
Actions,document-open-recent
Actions,document-page-setup
Actions,document-print
Actions,document-print-preview
Actions,document-properties
Actions,document-revert
Actions,document-save
Actions,document-save-as
Actions,document-send
Actions,edit-clear
Actions,edit-copy
Actions,edit-cut
Actions,edit-delete
Actions,edit-find
Actions,edit-find-replace
Actions,edit-paste
Actions,edit-redo
Actions,edit-select-all
Actions,edit-undo
Actions,find-location
Actions,folder-new
Actions,format-indent-less
Actions,format-indent-more
Actions,format-justify-center
Actions,format-justify-fill
Actions,format-justify-left
Actions,format-justify-right
Actions,format-text-direction-ltr
Actions,format-text-direction-rtl
Actions,format-text-bold
Actions,format-text-italic
Actions,format-text-underline
Actions,format-text-strikethrough
Actions,go-bottom
Actions,go-down
Actions,go-first
Actions,go-home
Actions,go-jump
Actions,go-last
Actions,go-next
Actions,go-previous
Actions,go-top
Actions,go-up
Actions,help-about
Actions,help-contents
Actions,help-faq
Actions,insert-image
Actions,insert-link
Actions,insert-object
Actions,insert-text
Actions,list-add
Actions,list-remove
Actions,mail-forward
Actions,mail-mark-important
Actions,mail-mark-junk
Actions,mail-mark-notjunk
Actions,mail-mark-read
Actions,mail-mark-unread
Actions,mail-message-new
Actions,mail-reply-all
Actions,mail-reply-sender
Actions,mail-send
Actions,mail-send-receive
Actions,media-eject
Actions,media-playback-pause
Actions,media-playback-start
Actions,media-playback-stop
Actions,media-record
Actions,media-seek-backward
Actions,media-seek-forward
Actions,media-skip-backward
Actions,media-skip-forward
Actions,object-flip-horizontal
Actions,object-flip-vertical
Actions,object-rotate-left
Actions,object-rotate-right
Actions,process-stop
Actions,system-lock-screen
Actions,system-log-out
Actions,system-run
Actions,system-search
Actions,system-reboot
Actions,system-shutdown
Actions,tools-check-spelling
Actions,view-fullscreen
Actions,view-refresh
Actions,view-restore
Actions,view-sort-ascending
Actions,view-sort-descending
Actions,window-close
Actions,window-new
Actions,zoom-fit-best
Actions,zoom-in
Actions,zoom-original
Actions,zoom-out
Animations,process-working
Applications,accessories-calculator
Applications,accessories-character-map
Applications,accessories-dictionary
Applications,accessories-screenshot-tool
Applications,accessories-text-editor
Applications,help-browser
Applications,multimedia-volume-control
Applications,preferences-desktop-accessibility
Applications,preferences-desktop-font
Applications,preferences-desktop-keyboard
Applications,preferences-desktop-locale
Applications,preferences-desktop-multimedia
Applications,preferences-desktop-screensaver
Applications,preferences-desktop-theme
Applications,preferences-desktop-wallpaper
Applications,system-file-manager
Applications,system-software-install
Applications,system-software-update
Applications,utilities-system-monitor
Applications,utilities-terminal
Categories,applications-accessories
Categories,applications-development
Categories,applications-engineering
Categories,applications-games
Categories,applications-graphics
Categories,applications-internet
Categories,applications-multimedia
Categories,applications-office
Categories,applications-other
Categories,applications-science
Categories,applications-system
Categories,applications-utilities
Categories,preferences-desktop
Categories,preferences-desktop-peripherals
Categories,preferences-desktop-personal
Categories,preferences-other
Categories,preferences-system
Categories,preferences-system-network
Categories,system-help
Devices,audio-card
Devices,audio-input-microphone
Devices,battery
Devices,camera-photo
Devices,camera-video
Devices,camera-web
Devices,computer
Devices,drive-harddisk
Devices,drive-optical
Devices,drive-removable-media
Devices,input-gaming
Devices,input-keyboard
Devices,input-mouse
Devices,input-tablet
Devices,media-flash
Devices,media-floppy
Devices,media-optical
Devices,media-tape
Devices,modem
Devices,multimedia-player
Devices,network-wired
Devices,network-wireless
Devices,pda
Devices,phone
Devices,printer
Devices,scanner
Devices,video-display
Emblems,emblem-default
Emblems,emblem-documents
Emblems,emblem-downloads
Emblems,emblem-favorite
Emblems,emblem-important
Emblems,emblem-mail
Emblems,emblem-photos
Emblems,emblem-readonly
Emblems,emblem-shared
Emblems,emblem-symbolic-link
Emblems,emblem-synchronized
Emblems,emblem-system
Emblems,emblem-unreadable
Emotes,face-angel
Emotes,face-angry
Emotes,face-cool
Emotes,face-crying
Emotes,face-devilish
Emotes,face-embarrassed
Emotes,face-kiss
Emotes,face-laugh
Emotes,face-monkey
Emotes,face-plain
Emotes,face-raspberry
Emotes,face-sad
Emotes,face-sick
Emotes,face-smile
Emotes,face-smile-big
Emotes,face-smirk
Emotes,face-surprise
Emotes,face-tired
Emotes,face-uncertain
Emotes,face-wink
Emotes,face-worried
International,flag-aa
MimeTypes,application-x-executable
MimeTypes,audio-x-generic
MimeTypes,font-x-generic
MimeTypes,image-x-generic
MimeTypes,package-x-generic
